,Box,slot,month,day,year,session,river,site,habitat,egg,JULIAN.DAY,TEMP,CONDUCTIVITY,membrane.diameter.1,membrane.diameter.2,membrane.diameter.3,membrane.diameter.4,yolk.diameter.1,yolk.diameter.2,yolk.diameter.3,yolk.diameter.4,larval.length,MEMBRANE.AVE,MEMBRANE.SD,membrane.cv,yolk.to.membrane.ratio,YOLK.AVE,YOLK.SD,yolk.cv,Egg.Stage,compact.diffuse,Pigment,sticky.debris,deflated,comments,Questionable.genetics,common.name,Lab,Family,Genus,species,common.name.ACGC,Family.ACGC,Genus.ACGC,species.ACGC
1,Box 5,A1,8,24,2014,14,UMR,UPI,BACK,1,236,26.3,432,1.087017,1.067598,1.148656,1.091645,1.052055,1.073404,1.153264,0.9825164,0,1.098729,0.034876919,0.031742968,0.96958381,1.06530985,0.070313332,0.066002706,1,C,N,Y,Y,"SAND, prongs",,,Roe,,,,,,,
2,Box 10,A1,7,28,2014,11,UMR,UPI,THAL,1,209,24.7,522,1.425978,1.453773,1.366153,1.462761,1.425978,1.453773,1.366153,1.462761,0,1.42716625,0.043584913,0.030539479,1,1.42716625,0.043584913,0.030539479,D,D,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
3,Box 11,A1,8,15,2014,13,UMR,DNI,CHAN,2,227,25.3,440,1.265863,1.201914,1.260828,1.246792,0.9519011,1.045972,0.945934,1.140803,0,1.24384925,0.029098156,0.023393636,0.820961644,1.021152525,0.09198882,0.09008333,5,C,Y,N,N,,NO,Freshwater Drum,Roe,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
4,Box 17,A1,6,21,2014,7,IAR,MTH,CHAN,7,172,26.3,473,3.897779,3.65773,3.713575,3.79526,1.282693,1.269791,1.27491,1.239841,0,3.766086,0.104391245,0.027718763,0.336372762,1.26680875,0.018744715,0.014796799,4,C,N,N,Y,,NO,Grass Carp,Roe,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
5,Box 17,A2,6,21,2014,7,IAR,MTH,CHAN,8,172,26.3,473,2.919035,2.756541,2.820857,2.862645,1.945388,1.317614,1.563098,1.628573,0,2.8397695,0.068534599,0.02413386,0.568239165,1.61366825,0.258499267,0.160193563,6,C,N,N,Y,,NO,Grass Carp,Roe,Cyprinidae,Ctenopharyngodon,Ctenopharyngodon idella,ACGC,ACGC,ACGC,ACGC
6,Box 17,A3,6,21,2014,7,IAR,MTH,CHAN,9,172,26.3,473,4.039901,3.792631,3.821811,3.992274,1.740634,1.845472,1.330671,1.916609,4.036919,3.91165425,0.12272614,0.031374486,0.43673249,1.7083465,0.261952882,0.153337091,8,C,N,N,N,,,,Roe,,,,,,,
7,Box 18,A1,6,21,2014,7,UMR,DNI,CHAN,31,172,25.4,393,NA,NA,NA,NA,3.122725,2.7902,0.6068835,3.080142,4.247451,NA,NA,NA,NA,2.399987625,1.204498151,NA,8,C,Y,N,NO MEMBRANE,eye pigment,,,UWSP,,,,,,,
8,Box 19,B1,8,24,2014,14,IAR,MTH,CHAN,1,236,25.5,498,1.447544,1.429058,1.411887,1.385726,0.9866594,1.308823,1.052057,1.078196,0,1.41855375,0.026286122,0.018530226,0.779973159,1.10643385,0.14031097,0.1268137,6,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,Aplodinotus grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,Aplodinotus grunniens
9,Box 20,A1,8,10,2015,12,CDR,CON,RIGH,16-00001,222,26.3,514,2.234925,1.974702,2.005603,2.107544,0.9204779,1.028581,0.9186885,0.996194,2.048397,2.0806935,0.117446564,0.056445874,0.464261243,0.96598535,0.055192687,0.057136153,8,C,N,Y,Y,,NO,River Shiner,UWSP,Cyprinidae,Notropis,Notropis blennius,River Shiner,Cyprinidae,Notropis,Notropis blennius
10,Box 25,A1,6,10,2015,6,DSM,EDD,THAL,16-00471,161,23.1,654,2.952611,3.089162,3.237928,2.693431,0.9230608,1.775275,1.379893,1.053502,3.146455,2.993283,0.231379481,0.077299567,0.428603877,1.2829327,0.380328135,0.296452133,8,C,N,N,Y,,NO,Silver Carp,Roe,Cyprinidae,Hypophthalmichthys,Hypophthalmichthys molitrix,ACGC,ACGC,ACGC,ACGC
