"Dataset","Site","River","Year","Month","Julian_Day","Temperature","Conductivity","Larval_Length","Membrane_Ave","Membrane_SD","Membrane_CV","Embryo_to_Membrane_Ratio","Embryo_Ave","Embryo_SD","Embryo_CV","Egg_Stage","Compact_Diffuse","Pigment","Sticky_Debris","Deflated","Genus","Common_Name","Family_ACGC","Genus_ACGC","Common_Name_ACGC"
"validation","UPD","UMR",2016,4,120,16,435,0,1.39305,0.12109,0.08692,0.57986,0.80777,0.1685,0.2086,"1","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,5,131,16.8,367,0,1.31183,0.18596,0.14176,0.81529,1.06952,0.1955,0.1828,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","P15","UMR",2016,5,131,17.5,363,0,1.24079,0.12337,0.09943,1,1.24079,0.12337,0.09943,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","IAR",2016,5,140,18.5,468,0,1.31857,0.06136,0.04653,1,1.31857,0.06136,0.04653,"D","D","N","N","N","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPW","UMR",2016,5,141,16.6,404,0,1.42819,0.16757,0.11733,1,1.42819,0.16757,0.11733,"D","D","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DND","UMR",2016,6,161,24.7,501,0,1.47444,0.15773,0.10698,0.64443,0.95017,0.11789,0.12407,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPW","UMR",2016,6,160,22.7,416,0,1.14454,0.23943,0.20919,0.69346,0.7937,0.12036,0.15164,"1","C","N","Y","N","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","DNS","UMR",2016,6,161,24.8,473,0,1.26303,0.13116,0.10384,0.90942,1.14862,0.1881,0.16377,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNW","UMR",2016,6,170,25.7,367,0,1.3658,0.18511,0.13553,0.81177,1.10872,0.14942,0.13477,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,6,180,27.5,428,0,1.54557,0.20611,0.13335,0.84044,1.29896,0.17807,0.13708,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","KQA","DSM",2016,6,180,27.7,602,0,0.95454,0.17115,0.1793,0.52686,0.5029,0.24041,0.47804,"1","C","N","N","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","UPW","UMR",2016,7,190,26.3,379,0,0.87028,0.0276,0.03172,0.68748,0.5983,0.03948,0.06599,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNR","UMR",2016,7,190,26.5,405,2.938832,0.9923,0.02594,0.02614,0.7294,0.72378,0.13474,0.18616,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPS","UMR",2016,7,191,18.9,670,0,0.90778,0.05028,0.05539,0.73652,0.6686,0.05332,0.07975,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNW","UMR",2016,7,200,27.25,378,0,0.94875,0.03833,0.0404,0.66035,0.6265,0.03196,0.05102,"3","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","UPD","UMR",2016,7,201,26.6,464,0,0.92468,0.00705,0.00762,0.67635,0.62541,0.05223,0.08352,"6","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","MTH","DSM",2016,7,211,28.9,490,0,0.83696,0.02329,0.02782,0.67721,0.56679,0.05348,0.09435,"3","C","N","Y","Y","Notropis","Shiner sp.","Cyprinidae","Notropis","Shiner sp."
"validation","DNS","UMR",2016,7,208,28.2,412,0,1.29274,0.18978,0.1468,1,1.29274,0.18978,0.1468,"D","D","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"validation","P15","UMR",2016,8,225,27.8,364,0,0.78622,0.01022,0.013,0.72316,0.56856,0.02717,0.04779,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"validation","DNR","UMR",2016,8,225,27.9,373,1.423328,1.36239,0.05503,0.04039,0.52466,0.71479,0.11637,0.16281,"8","C","N","N","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"validation","DNS","UMR",2016,8,224,28.2,381,0,1.00454,0.02061,0.02052,0.80218,0.80582,0.05901,0.07323,"1","C","N","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
